Radar de investigacion — rastreador semanal de oportunidades post-doctorado	
Single source of truth. Estructura creada 2026-08-23, clonada del tracker de funding de PitAssist. EL PERFIL DE LA CANDIDATA AUN NO ESTA DEFINIDO: ver prompts/profile.md antes de la primera pasada real.	
CANONICAL STATE	The git repository. One TSV per tab under data/, NO dates in filenames: git history is the version history. docs/ (web page and research.xlsx) is a RENDERING generated by CI, never edited by hand.
HOW IT IS MAINTAINED	
positions routine (Mon 00:01 Madrid)	Advertised positions: postdocs and research staff in academia (postdocs), plus roles beyond academia - industry, pharma, clinical research, medical affairs, science communication (jobs). OWNS postdocs, jobs. Reads the Gmail inbox for the week.
fellowships routine (Mon 04:00 Madrid)	Funded fellowships, mobility and travel grants, prizes; plus the watchlist of closed calls expected to reopen. OWNS fellowships, watchlist_closed.
ecosystem routine (Mon 08:00 Madrid)	Research groups worth approaching, conferences and congresses, courses and summer schools. OWNS groups, events, training. Backstop of inbox_triage and source_inbox.
Shared, append-only	changelog, sources, inbox_triage, subscriptions. Append your lines; never rewrite another routine's.
Every run also	Rebuilds ONLY its own rows in action_now, appends to changelog, updates Last_Checked in sources, and writes runs/<date>-<routine>.md. There is NO email: the page is the only deliverable.
HOW TO USE IT	
Start here	action_now - everything scoring 4-5 that closes within 90 days, ranked. If you read one tab, read that one.
Your columns	Owner_Status and Next_Action are the owner's. The routines never overwrite them. Set Owner_Status to DISCARDED and a row stops being resurfaced.
Fit_1_5	Measured against HER profile (prompts/profile.md), never against a generic researcher. 5 = apply, squarely her. 4 = strong fit, worth the work. 3 = plausible but needs reframing or a condition solved. 1-2 = logged so it is never rediscovered. Fit is NEVER discounted for competition.
Competition_Level	LOW / MEDIUM / HIGH / UNKNOWN, with Competition_Basis giving the reasoning. A Fit 3 with LOW competition often beats a Fit 5 with HIGH.
Confidence	VERIFIED = the routine opened the official page and read the dates itself. LIKELY = two or more secondary sources agree. UNVERIFIED = a lead, not a fact.
Change_Flag	NEW / UPDATED / UNCHANGED / CLOSED. Filter on NEW and UPDATED to see the week's movement.
Days_Left	Deadline - today, recomputed by the generators. Negative = passed.
Eligibility clocks	Many fellowship calls carry a years-since-PhD window (Years_PostPhD_Window) and mobility rules about where she lived recently. A call she ages out of is CLOSED for her even if open for the world: record it and say so in Fit_Rationale.
TABS	
action_now	Ranked shortlist, regenerated every run. Partial rebuild: each routine replaces its own rows and preserves the others (tools/rebuild_action_now.py).
postdocs	Advertised postdoc and research staff positions in academia. P-#### ids.
jobs	Positions beyond academia: industry, pharma/biotech, clinical research, medical affairs, consulting, science communication. J-#### ids.
fellowships	Funded fellowships, mobility/travel grants and prizes the candidate applies to herself and carries to a host. F-#### ids.
groups	Research groups and labs worth approaching, with or without an open posting. L-#### ids.
events	Conferences and congresses: visibility, networking, abstract deadlines (the Deadline column is the next relevant one). E-#### ids.
training	Courses, summer schools, workshops, certifications. T-#### ids.
watchlist_closed	Closed calls expected to reopen (annual fellowships above all). Checked every run; rows keep their original id.
inbox_triage	One row per relevant mailbox message, routed POSITIONS / FELLOWSHIPS / ECOSYSTEM / UNCLEAR / IGNORE. No row may end the week PENDING.
subscriptions	Alert services and newsletters worth subscribing to. Status TODO / DONE / SKIP. The routine never subscribes on her behalf.
changelog	Append-only audit trail of every change, by run.
sources	The monitoring surface: where each routine looks, with the exact filters and query strings. EDIT THIS to widen or narrow coverage. Seeded 2026-08-23 with generic research sources; queries marked [TODO] until the profile is agreed.
DEDUPLICATION KEY	normalised(Name) + Institution-or-Funder + deadline year, plus URL host+path. A returning annual call keeps its original ID; only Deadline, Status, Last_Verified and Change_Flag are updated.
SPLIT RULE	If any single TSV passes ~60 KB, a human splits it (by geography or sub-type, never by deadline year) updating both generators in the same commit.
