ID	Name	Issuer	Type	Closed_On	Expected_Reopen	Reopen_Confidence	Why_It_Matters	Fit_1_5	Last_Checked	URL	Notes
W-0001	HFSP Postdoctoral Fellowships - convocatoria del ano 2027	Human Frontier Science Program	POSTDOC_FELLOWSHIP	2026-05-12	Sigue sin publicarse el calendario del ciclo AY2028. Por el patron del AY2027 (LOI iniciada antes del 05-05-2026 y presentada antes del 12-05-2026, propuesta completa el 24-09-2026, incorporacion entre el 01-04-2027 y el 01-01-2028), se espera publicacion hacia enero-marzo de 2027.	MEDIUM	Es el buque insignia alcanzable. La LOI del ano 2028, hacia mayo de 2027, cae en el mismo mes en que acaba su residencia, no exige doctorado en mano al presentar, y su ventana de activacion (abril de 2028 a enero de 2029) encaja justo encima de su defensa prevista para febrero de 2028. Perder la LOI de mayo de 2027 le cuesta un ano entero.	4	2026-09-21	https://www.hfsp.org/funding/hfsp-funding/postdoctoral-fellowships	Verificado hoy en Tier 1 (hfsp.org, HTTP 200 por curl): la pagina sigue siendo la del ciclo 2027 y avisa de que el plazo de LOI del ciclo 2027 ya paso; el calendario AY2028 NO esta publicado. DATO NUEVO VERIFIED que cierra la duda de elegibilidad del ciclo en curso: 'Fellows must begin their fellowship between 1 April 2027 and 1 January 2028' y el doctorado debe estar completado 'before 31 December 2027 at the latest'. Con defensa prevista en febrero de 2028 ella NO es elegible en el ciclo 2027 (ver F-0007). Por extrapolacion del patron (portal abierto 12-03-2026, LOI antes del 05-05-2026, propuesta completa el 24-09-2026), el ciclo AY2028 deberia publicarse entre enero y marzo de 2027 con LOI hacia mayo de 2027 y exigir el doctorado antes del 31-12-2028: ESA seria su primera edicion viable. Es extrapolacion, no dato publicado.
W-0002	Contratos Rio Hortega - edicion AES 2026	ISCIII	CAREER_DEVELOPMENT	2026-03-05	Sin publicar aun. Estimacion por patron: resolucion en la segunda quincena de diciembre de 2026 y plazo de Rio Hortega en febrero de 2027 (fue 12-02/05-03 en 2025 y 10-02/05-03 en 2026).	LIKELY para las fechas; el REQUISITO pasa a VERIFIED	El esquema mas alcanzable de toda la base de datos para ella: no exige doctorado en ningun momento, y la edicion AES 2027 deberia admitir a quienes terminan la FSE en 2027, que es su caso el 22-05-2027. Presentarse en feb-mar de 2027, siendo aun residente, es la accion concreta que sale de esta pasada.	5	2026-09-21	https://www.isciii.es/documents/d/guest/report_aes_2026?download=true	HALLAZGO DE LA PASADA ANTERIOR INTACTO (requisito VERIFIED en el PDF de la AES 2026, art. 34.2: la FSE debe finalizar antes del fin del plazo de alegaciones a la resolucion provisional; precedentes de alegaciones: Rio Hortega AES 2025 del 3 al 16 de octubre de 2025, convocatoria 2022 del 19 al 30 de septiembre de 2022; Sara Borrell y Miguel Servet AES 2025 del 11 al 24 de julio de 2025). Conclusion que se mantiene: LA AES 2027 ES SU PRIMERA EDICION POSIBLE Y SE PREPARA YA. Comprobado el 21-09-2026: la AES 2027 sigue SIN publicarse y no hay ninguna senal de adelanto. isciii.es sigue dando 503 al HTML, asi que la verificacion de hoy es indirecta. Anclas de calendario que sostienen la estimacion: la AES 2026 fue autorizada por el Consejo de Ministros el 16-12-2025, y el extracto de la AES 2025 en el BOE (BOE-B-2024-45526) procede de la Resolucion de 10-12-2024. Es decir, autorizacion y publicacion en la segunda quincena de diciembre de 2026 y plazo de Rio Hortega en febrero de 2027 (12-02/05-03 en 2025, 10-02/05-03 en 2026) siguen siendo la mejor estimacion. Cabo suelto de la pasada anterior, sin resolver: no se localiza la resolucion provisional de Rio Hortega AES 2026.
W-0003	Contratos Sara Borrell - edicion AES 2026	ISCIII	POSTDOC_FELLOWSHIP	2026-03-05	2027-02-10 (ventana ~10 feb - 5 mar 2027); su primera edicion realista es la AES 2029	LIKELY	Su principal objetivo posdoctoral espanol una vez defendida la tesis; como el doctorado debe estar leido antes del plazo, la edicion AES 2028 (~5 de marzo de 2028) es una moneda al aire contra una defensa de febrero de 2028 y la AES 2029 es el objetivo seguro.	5	2026-09-21	https://www.isciii.es/documents/d/guest/report_aes_2026?download=true	Sin cambios el 21-09-2026: la AES 2027 no esta publicada. Estimacion sostenida por las mismas anclas de calendario que W-0002 (AES 2026 autorizada en Consejo de Ministros el 16-12-2025; extracto de la AES 2025 en BOE-B-2024-45526, Resolucion de 10-12-2024) y por el ancla interna de la pasada anterior (resolucion provisional AES 2025 publicada el 10-07-2025, alegaciones del 11 al 24 de julio de 2025). Se mantiene que su primera edicion realista es la AES 2029, porque Sara Borrell exige doctorado y ella defiende en febrero de 2028. Verificacion indirecta: isciii.es sigue con el HTML en 503.
W-0004	Contratos Miguel Servet - edicion AES 2026	ISCIII	CAREER_DEVELOPMENT	2026-03-04	2027-02-11 (ventana ~11 feb - 4 mar 2027)	LIKELY	Inalcanzable durante una decada por la via ordinaria, pero las bases de la AES levantan el techo de fecha de tesis a quienes completaron Rio Hortega o Sara Borrell, que es la razon estrategica para tomar un Rio Hortega en 2027.	2	2026-09-21	https://www.isciii.es/documents/d/guest/report_aes_2026?download=true	Sin cambios el 21-09-2026: la AES 2027 no esta publicada y la ventana estimada de 11 de febrero a 4 de marzo de 2027 se mantiene, con las mismas anclas de calendario que W-0002 y W-0003. Sigue fuera de su alcance por trayectoria: Miguel Servet exige varios anos posdoctorales. Verificacion indirecta: isciii.es sigue con el HTML en 503.
W-0005	Wellcome Early-Career Awards - ronda de julio de 2026	Wellcome Trust	CAREER_DEVELOPMENT	2026-07-21	Corte confirmado el 10-11-2026; desde el 25-08-2026 el esquema pasa a presentacion continua con tres cortes al ano (preseleccion en febrero, junio y septiembre). El dato de ~06-04-2027 de la pasada anterior NO tiene respaldo y se retira.	LIKELY	El esquema britanico mejor emparejado con la genetica psiquiatrica (KCL, Cardiff, Edimburgo), y al ser rodante con tres rondas al ano no hay precipicio anual: puede entrar en la primera ronda que sus circunstancias permitan en vez de esperar doce meses. Eso lo hace estructuralmente mas amable con una defensa en febrero de 2028 que cualquier convocatoria anual.	4	2026-08-31	https://wellcome.org/research-funding/schemes/early-career-awards	Sin cambios y el conflicto sigue vivo. Confirmado por Tier 2 el paso a presentacion continua desde el 25-08-2026 con preseleccion en febrero, junio y septiembre. La fecha 16-11-2026 aparece explicitamente como PLAZO INTERNO DE INSTITUCION en paginas de Oxford y en un PDF de convocatoria interna de UCT, lo que refuerza que el 10-11-2026 es el del financiador, pero no se ha podido leer en una pagina Tier 1: wellcome.org sigue dando 403 y no se reintento. La lectura mas probable es que ambas fechas son correctas en su ambito.
W-0006	NHMRC Investigator Grants - ronda con cierre en julio de 2027	National Health and Medical Research Council (Australia)	CAREER_DEVELOPMENT	2026-07-29	Apertura hacia junio de 2027 y cierre hacia finales de julio de 2027. CORRECCION DE ETIQUETADO CONFIRMADA: lo que la NHMRC llama 'ronda 2027' abrio el 03-06-2026, cerro el 29-07-2026 a las 17:00 AEST y financia contratos que EMPIEZAN en 2028; la ronda siguiente abre hacia junio de 2027 y cierra hacia finales de julio de 2027.	LIKELY	Su estancia en QIMR Berghofer es un vinculo institucional australiano vivo, y las Investigator Grants son el vehiculo principal del NHMRC para salario mas investigacion. Merece calendario porque la ronda es a mitad de ano y no choca con los racimos europeos de septiembre y febrero, pero necesita una institucion australiana dispuesta a administrarla, que es una relacion a construir con un ano de antelacion.	3	2026-09-21	https://www.nhmrc.gov.au/funding/find-funding/investigator-grants	Corroborada el 21-09-2026 la correccion de etiquetado, con el calendario completo de la ronda que acaba de cerrar: apertura 03-06-2026, datos minimos 01-07-2026 17:00 AEST, cierre 29-07-2026 17:00 AEST, declaraciones de conflicto a finales de agosto de 2026, revision de agosto a noviembre de 2026 y resultados bajo embargo en marzo de 2027. AVISO DE ACCESO: nhmrc.gov.au devuelve 403 tanto a curl como a WebFetch (bloqueo nuevo, no estaba en la lista de bloqueos del briefing), asi que este calendario procede de resultados de buscador restringidos al dominio y NO de una pagina Tier 1 abierta: la confianza se queda en LIKELY. La modalidad Emerging Leadership exige el doctorado ya concedido, asi que con defensa en feb-2028 su primera ronda utilizable sigue siendo la que cierre hacia julio de 2028. Tiene via de contacto por la estancia en QIMR Berghofer.
W-0007	BBRF Young Investigator Grant - ciclo 2026	Brain and Behavior Research Foundation	CAREER_DEVELOPMENT	2026-03-04	Ventana estimada de febrero a marzo de 2027; BBRF NO HA PUBLICADO NINGUNA FECHA DE 2027. Se retira el 05-03-2027 de la pasada anterior: era una extrapolacion y ademas cae en viernes, cuando el patron de BBRF es cerrar en miercoles. Ciclo 2026 verificado: 04-02-2026 a 04-03-2026 23:59 ET.	LIKELY para la ventana, UNVERIFIED para la fecha	70000 dolares en dos anos, sin restriccion geografica, con una solicitud corta y dirigida de lleno a la investigacion en trastornos psiquiatricos, que es su linea 2. No puede usarla hasta ocupar un puesto de formacion investigadora con mentor de psiquiatria en el mismo centro, asi que 2029 es el ciclo realista, pero debe estar en el calendario desde el dia en que empiece un posdoc.	3	2026-09-21	https://bbrfoundation.org/grants-prizes/bbrf-young-investigator-grants	Leida hoy la pagina Tier 1 de la BBRF (HTTP 200 por curl): sigue mostrando UNICAMENTE el ciclo 2026 ('The call for 2026 BBRF Young Investigator Grant Applications is now closed'; 'begins on Wednesday, February 4, 2026 and ends on Wednesday, March 4, 2026 at 11:59 PM ET'). NINGUNA fecha de 2027 publicada: se mantiene la ventana estimada de febrero a marzo de 2027 y se mantiene retirado el 05-03-2027 inventado por la siembra. AVISO DE REPROGRAMACION, sin cambios y aun sin verificar en el PDF de bases: fuentes Tier 2 indican que los postdocs de primer ano son inelegibles y que se exige 'M.D. with minimum PGY-IV training' o doctorado mas un puesto de investigacion en marcha; con defensa en febrero de 2028 su primera convocatoria realista seria la de 2029. Pendiente concreto para otra pasada: descargar 'Download 2026 YI Grant Guidelines' desde esa misma pagina y leer la clausula de elegibilidad.
W-0008	Postdoctoral Junior Leader - modalidad Incoming, convocatoria 2027	Fundacion la Caixa	POSTDOC_FELLOWSHIP	2026-07-23	La edicion Incoming en curso cierra PASADO MANANA, el 23-09-2026 a las 14:00 (hora peninsular espanola); abrio el 14-07-2026. La edicion siguiente (convocatoria 2028) deberia abrir hacia mediados de julio de 2027 y cerrar hacia finales de septiembre de 2027: es extrapolacion del patron 14-07 / 23-09, no una fecha publicada.	HIGH para el cierre del 23-09-2026; MEDIUM para la ventana de la edicion 2028, que es extrapolacion	La modalidad Incoming lleva la misma banda de 2 a 7 anos posdoctorales que la Retaining pero restringe las acogidas a centros Severo Ochoa / Maria de Maeztu, institutos de investigacion sanitaria Carlos III y unidades portuguesas de excelencia. Para una candidata basada en Espana la modalidad correcta suele ser la Retaining; la regla de movilidad de la Incoming no se pudo verificar.	3	2026-09-21	https://lacaixafoundation.org/en/postdoctoral-junior-leader-fellowships-incoming-call	DICTAMEN EN FIRME, PARA NO VOLVER A GENERAR FALSA URGENCIA CADA SEPTIEMBRE: ELLA NO PUEDE PRESENTARSE A ESTA EDICION NI A NINGUNA HASTA 2030. La regla es que el doctorado se haya obtenido ENTRE 2 Y 7 ANOS ANTES DE LA FECHA DE CIERRE. Con defensa prevista en febrero de 2028 (ETA), cumple los 2 anos en febrero de 2030, de modo que la primera convocatoria cuyo cierre (finales de septiembre) cae despues de esa fecha es la que cierre en septiembre de 2030, es decir la que la Caixa etiquetaria como convocatoria 2031; el limite superior de 7 anos la deja elegible hasta los cierres de 2034. CORRIGE LA NOTA ANTERIOR, QUE ESTABA MAL: decia 'su primera edicion posible es la convocatoria de 2029 (cierre hacia septiembre de 2028)', y septiembre de 2028 son solo siete meses despues de la defensa, no dos anos. Datos de la edicion en curso: 20 ayudas, hasta 320.100 EUR por un maximo de 3 anos, centros espanoles con sello Severo Ochoa / Maria de Maeztu / ISCIII o centros portugueses con sello FCT, disciplinas STEM, calendario preseleccion 12-01-2027, entrevistas 24-25 de febrero de 2027, resultados 10-03-2027 e incorporacion entre el 01-05-2027 y el 31-12-2027. BLOQUEO NUEVO: hoy lacaixafoundation.org devuelve 403 a curl Y a WebFetch, y fundacionlacaixa.org tambien devuelve 403 al PDF de bases ('junior-leader-incoming-programme-rules-2026-pdf'), asi que el cierre y la regla de 2-7 anos estan confirmados por Tier 2 concordante y no por lectura directa de Tier 1.
W-0009	ISPG Early Career Investigator Program (ECIP) - ayuda de viaje al WCPG	International Society of Psychiatric Genetics	TRAVEL	2026-05-14	Portal de resumenes del WCPG 2027 hacia febrero-marzo de 2027; plazo de resumenes y de ECIP hacia mediados de mayo de 2027; congreso a finales de septiembre o principios de octubre de 2027 (sede sin anunciar)	MEDIUM	Es la ayuda de congreso mejor emparejada de toda la base de datos: el WCPG es EL congreso de su linea principal (GWAS/PRS de trastornos psiquiatricos) y la elegibilidad del ECIP nombra explicitamente a 'graduate student' junto a las posdoctorales, asi que es elegible COMO DOCTORANDA ACTUAL y sigue siendolo hasta unos cinco anos despues del doctorado, o sea hasta ~2033. El plazo de mediados de mayo de 2027 cae dias antes de que acabe su residencia: sincronizacion perfecta para llegar al mercado posdoctoral con un resumen presentado y un premio en el CV.	5	2026-09-21	https://ispg.net/ecip-program/	Sin cambios el 21-09-2026: ispg.net/ecip-program/ responde 200 pero solo sirve la navegacion, sigue rotulada 'Early Career Investigator Program (ECIP) 2026' y no hay rastro del ECIP 2027 ni de sede o fechas del WCPG 2027. La unica reunion futura listada sigue siendo el WCPG 2026 (Glasgow, 29 de septiembre a 3 de octubre de 2026). VENTANA DE VIGILANCIA INMINENTE Y CONCRETA: la sede del congreso siguiente suele anunciarse durante el congreso anterior, asi que la pasada del 5 de octubre de 2026 es la que debe mirar esto con prioridad. Recordatorio del briefing: ispg.net/abstract-submissions/ sirve contenido de 2022, no usarla como fuente de fechas.
W-0010	SRS Trainee Awards del congreso SLEEP (Trainee Merit, Diversity Travel, First-Time Attendee)	Sleep Research Society / congreso SLEEP	TRAVEL	2026-03-16	SLEEP 2027 (41o congreso anual de la APSS) confirmado en Denver, Colorado Convention Center, del 5-6 al 9 de junio de 2027. El ciclo de premios de becarias sigue sin publicar; por el precedente de 2026 (resumenes el 08-12-2025, solicitud de premios en enero) se espera ventana en enero de 2027 con resumenes a principios de diciembre de 2026.	VERIFIED para la ventana de enero de 2027	Las doctorandas tienen condicion de trainee y son elegibles, asi que son accionables mientras siga siendo estudiante de doctorado. El Trainee Merit Award cubre aproximadamente la matricula de SLEEP y exige membresia vigente de la SRS mas un resumen no tardio; el Diversity Travel Award llega hasta 2000 dolares para matricula, viaje y alojamiento y no declara requisito de membresia, acogiendo explicitamente a trainees de distintos paises, asi que es el objetivo de mejor relacion valor-esfuerzo para una candidata basada en Espana. El Leadership Development Workshop Award solo se convoca en anos impares, es decir en SLEEP 2027, justo su ventana.	3	2026-09-21	https://sleepresearchsociety.org/awards/conference-awards/	Releida hoy la pagina Tier 1 y la cita sigue literal e inalterada: 'The application period for SLEEP 2026 is closed. More information regarding the next cycle of the Trainee Awards can be expected in January of 2027.' Se confirma tambien que el Leadership Development Workshop Award es de anos IMPARES, luego existe en SLEEP 2027. REQUISITOS VERIFICADOS HOY, utiles para planificar: hay que ser miembro en vigor de la SRS en categoria Postdoctoral Fellow, Predoctoral Student o Undergraduate Student; hay que asistir a las Trainee Symposia Series del domingo; y el Trainee Merit Award exige haber enviado un resumen al congreso, sin que valgan los late-breaking. SIGUE SIN CONFIRMAR la fecha de apertura del envio de resumenes de SLEEP 2027 (hipotesis: principios de diciembre de 2026, UNVERIFIED); sleepmeeting.org es el unico sitio que la publicaria y es una SPA vacia. Congreso confirmado en Denver, 5-6 a 9 de junio de 2027.
