ID	Service	URL_to_subscribe	Category	What_it_delivers	Why_it_matters	Priority	Status	Added_On	Notes
SUB-0001	Alertas del BOE (servicio de alertas / Mi BOE)	https://www.boe.es	JOBS	Aviso el mismo dia de publicacion de cualquier disposicion que contenga 'Genetica Medica' o 'Genetica de Laboratorio', incluida la disposicion transitoria de acceso excepcional al titulo.	Es el carril 2 entero. La via transitoria tendra un plazo de solicitud corto contado desde la entrada en vigor del RD, que a 2026-08-23 ni siquiera ha entrado en audiencia publica; enterarse tarde equivale a perder la unica ventana de acceso al titulo de genetica sin repetir el MIR.	HIGH	TODO	2026-08-23	La URL exacta del alta NO esta confirmada: en esta pasada no se abrio la pagina del servicio de alertas, solo se verifico el dominio. Localizar 'Mi BOE' / servicio de alertas desde la portada. Anadida por la rutina positions.
SUB-0002	EURAXESS - alertas de busqueda guardada (requiere cuenta)	https://euraxess.ec.europa.eu/jobs/search	POSTDOCS	Correo con las ofertas nuevas que encajen en busquedas guardadas ('statistical genetics', 'polygenic', 'GWAS', 'psychiatric genetics', 'sleep') con perfil de investigador R2.	Desbloquea una rama entera: la busqueda de texto libre de EURAXESS es inservible para un agente automatico (tres parametros distintos devolvieron siempre la misma lista generica de 7.980 ofertas), asi que sin estas alertas la rama 1 seguira produciendo casi nada cada semana.	HIGH	TODO	2026-08-23	Requiere que la duena cree la cuenta y las busquedas guardadas una sola vez; despues las alertas pueden reenviarse al buzon del rastreador y las lee la rama 5. Anadida por la rutina positions.
SUB-0003	SENC (Sociedad Espanola de Neurociencia) - alta como socia	https://www.senc.es/	FELLOWSHIPS	Condicion de sociedad miembro de FENS, imprescindible para solicitar las FENS/IBRO-PERC Exchange Fellowships, mas los avisos de premios y congresos de la neurociencia espanola.	Es requisito previo DURO de la unica ayuda con plazo vivo que puede cumplir este otono: la FENS/IBRO-PERC Exchange Fellowship cierra el 15-10-2026 y hay que ser socia ANTES de presentar. De las dos suscripciones de esta pasada, esta es la que tiene reloj.	HIGH	TODO	2026-08-23	URL sin verificar en esta pasada: confirmar la pagina de alta vigente de la SENC antes de actuar. Alternativa equivalente: la membresia individual de FENS. Anadida por la rutina fellowships.
SUB-0004	ISCIII - avisos de convocatorias / boletin de la AES	https://www.isciii.es	FELLOWSHIPS	Aviso cuando se firma la resolucion de la AES (diciembre) y cuando se abre la ventana de cada actuacion (febrero).	La ventana de Rio Hortega dura menos de cuatro semanas y el centro de acogida necesita margen interno; perder la publicacion de diciembre cuesta un ano entero en el esquema de mayor encaje que tiene, y ademas isciii.es bloquea el fetch automatico, asi que el correo vale mas que un rastreo semanal.	HIGH	TODO	2026-08-23	Probablemente sea mas fiable pedir que la incluyan en la lista interna de avisos de convocatorias del IIS donde vaya a presentar (IBIMA, en su caso) que el canal general del ISCIII. Anadida por la rutina fellowships.
SUB-0005	ISPG - membresia / avisos del WCPG y ECIP	https://ispg.net/membership/	EVENTS	Avisos del World Congress of Psychiatric Genetics (plazo de resumenes, registro), del Early Career Investigator Program (premio de viaje + mentoria) y del tablon de empleo de la ISPG.	El WCPG es la sede central de sus lineas 1-2 y el reloj de resumenes/ECIP se pierde facil (el de 2026 ya cerro en mayo). La membresia canaliza el aviso del ciclo 2027 con margen para preparar un resumen y solicitar el ECIP.	HIGH	TODO	2026-08-24	URL de alta sin verificar en esta pasada. Anadida por la rutina ecosystem.
SUB-0006	IBG Boulder Workshop - lista de avisos de la convocatoria	https://www.colorado.edu/ibg/workshop-2027	TRAINING	Aviso de apertura de registro, tarifa, plazo y becas ISCEP del International Statistical Genetics Workshop.	Es su formacion diana (Fit 5, competencia LOW) y la edicion 2027 es presencial; la tarifa/plazo aun no estan publicados, asi que el aviso evita perder la ventana de registro (~ene 2027) y de beca ISCEP.	HIGH	TODO	2026-08-24	No hay formulario de alta claro; alternativa: escribir a IBGworkshop@colorado.edu pidiendo aviso de la convocatoria 2027. URL sin verificar como pagina de alta. Anadida por la rutina ecosystem.
SUB-0007	Sleep Research Society - lista 'Receive SRS Updates' (y membresia de becaria)	https://sleepresearchsociety.org/membership/	FELLOWSHIPS	Avisos de apertura de los premios de la SRS, de los plazos de resumenes y de los Trainee Merit / Diversity Travel Awards del congreso SLEEP, y del Small Research Grant Program.	El calendario de premios de becarias de la SRS no se publica con antelacion en ninguna pagina rastreable (W-0010 lleva dos pasadas sin fecha), solo llega por correo. Y SLEEP 2027 es en Denver del 5-6 al 9 de junio de 2027, ya terminada su residencia: una ayuda de viaje o un premio de becaria es la via realista para asistir.	MEDIUM	TODO	2026-08-24	La pagina tiene un formulario de alta verificado (nombre, apellidos, correo). Para la membresia hay tramo de Postdoctoral Fellow / Predoctoral Student en https://members.sleepresearchsociety.org/SRSMembers/Membership/Join/Choose-Membership-Type.aspx (pagina de alta no abierta en esta pasada). Anadida por la rutina fellowships.
SUB-0008	Sociedad Espanola de Sueno (SES) - alta como socia	https://ses.org.es/registro/	FELLOWSHIPS	Comunicaciones de socia y acceso a las convocatorias del tablon de Becas y Premios: Becas de Investigacion SES, Ayuda para la Investigacion y el Intercambio de Conocimiento (movilidad) y el Premio Joaquin Teran y Mari Luz Alonso.	Aqui la suscripcion ES el requisito, no el aviso: las becas de la SES exigen que el proyecto lo lidere una socia y que entre el 60% y el 70% del equipo lo sean, y hay indicios (sin confirmar) de una antiguedad minima de un ano. Si esa antiguedad existe, cada mes que pasa retrasa un ano su elegibilidad. Ademas es el financiador nacional que mejor encaja con la linea de sueno infantil mientras siga en Malaga.	HIGH	TODO	2026-08-24	https://ses.org.es/hazte-socio/ da 404: la via correcta es /registro/, que lleva al formulario de alta. Ninguna de las dos paginas se abrio en esta pasada (techo de llamadas): confirmar antes de actuar. El tablon https://ses.org.es/profesionales/becas-y-premios/ si esta verificado y es SRC-0066. Anadida por la rutina fellowships.
SUB-0009	SEMEDLAB / Fundacion Jose Luis Castano-SEQC - alta como socia	https://www.fundacionjlc.es/	FELLOWSHIPS	Avisos de las 8 convocatorias anuales de la Fundacion (intercambio internacional, ciclos IFCC, beca post-residencia, ayudas a tesis doctoral, ayudas a proyectos) y, sobre todo, ACCESO: casi todas exigen ser socia.	PRIORIDAD MAXIMA Y CON RELOJ DE 30 DIAS: la Beca Internacional de Intercambio Cientifico Profesional cierra el 30-09-2026, exige ser socia EN EL MOMENTO DE SOLICITAR y es la unica convocatoria con plazo inminente para la que hoy es elegible. Sin el alta, esa oportunidad muere sola. Contacto: secretaria@fundacionjlc.es, tel. 93 446 26 70.	ALTA	TODO	2026-08-31	Propuesta en la pasada del 2026-08-31 (rama 4). La rutina NO se suscribe en su nombre. Comprobar primero si ya es socia: varias filas de fellowships cambian de Fit segun la respuesta.
SUB-0010	AEGH (Asociacion Espanola de Genetica Humana) - alta como socia	https://aegh.org/	FELLOWSHIPS	Avisos de las cinco lineas de ayuda de la AEGH y de sus bases completas, que NO se publican en web y solo se envian por secretaria@aegh.org.	Aqui la membresia no es solo un canal de informacion, es el RELOJ DE ELEGIBILIDAD: tres ayudas de la AEGH (beca de estancia profesional, bolsas de viaje y premio joven) exigen 2 anos de antiguedad continuada. Dandose de alta ahora quedan abiertas a partir de 2028; cada semana de retraso resta una semana a esa fecha. Ademas la AEGH nomina para la national fellowship de la ESHG (F-0023), donde la competencia es espanola y no europea.	ALTA	TODO	2026-08-31	Propuesta en la pasada del 2026-08-31 (rama 4). La rutina NO se suscribe en su nombre.
SUB-0011	EU Funding and Tenders Portal - busqueda guardada con aviso por correo	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search	FELLOWSHIPS	Aviso por correo cuando cambia el estado de los topics vigilados (Forthcoming a Open) y cuando aparecen los topics del programa marco sucesor de Horizonte Europa.	El portal es una aplicacion JavaScript: ni la pagina ni su API de busqueda son accesibles a un agente (api.tech.ec.europa.eu devuelve HTTP 405 a una peticion GET). La suscripcion es la unica forma de que la informacion llegue sin que ella entre a mano cada mes, y el topic que de verdad le importa, la MSCA-PF de 2028 bajo un programa marco que todavia no existe, se anunciara aqui antes que en ningun otro sitio.	HIGH	TODO	2026-09-07	Requiere cuenta EU Login. Guardar la busqueda de topics con el texto MSCA y los estados Forthcoming y Open, y activar la notificacion por correo. Propuesta por la rama 1 en la pasada 2026-09-07.
SUB-0012	jobs.ac.uk - alerta por correo de busqueda guardada	https://www.jobs.ac.uk/jobs-by-email	POSTDOCS	Correo con los anuncios nuevos que casan con palabras clave guardadas (statistical genetics, psychiatric genetics, polygenic, GWAS, genetic epidemiology)	Es el tablon que mejor responde al fetch automatico y el unico que en esta pasada dio resultados utiles; el volumen semanal en sus temas es de 3-9 anuncios, manejable por correo, y adelanta los plazos que la rutina se pierde entre lunes.	HIGH	TODO	2026-09-07	Rama 2. El filtro por empleador de jobs.ac.uk (/search/employer/<slug>/jobs) devuelve HTTP 500 al fetch automatico, de ahi que la alerta por palabras clave sea el sustituto.
SUB-0013	ISPG - membresia y lista de correo (incluye el programa de Early Career Investigators)	https://ispg.net/	GROUPS	Avisos de la sociedad de genetica psiquiatrica: congreso anual, programa y becas de investigadores noveles, seminarios y anuncios de puestos que circulan por la lista antes de llegar a los portales generalistas.	La linea 2 de ella (GWAS/PRS psiquiatrico) tiene a la ISPG como sociedad de referencia, y cuatro de los ocho grupos de esta pasada salen de su junta directiva. Entrar en la lista convierte un rastreo manual anual en un flujo continuo, y el programa de investigadores noveles esta pensado exactamente para alguien que termina la tesis. Ademas ser socia da un motivo natural para escribir a Middeldorp o a Huckins.	MEDIUM	TODO	2026-09-07	DUPLICADA de SUB-0005 (misma sociedad, otra URL: la deduplicacion por URL no la detecto). Canonica: SUB-0005 https://ispg.net/membership/. Se conserva la fila porque el fichero es de solo apendice; darse de alta UNA sola vez. Anadida por ecosystem el 2026-09-07.
SUB-0014	World Sleep Society - avisos de congreso y noticias	https://worldsleepsociety.org/news/	EVENTS	Anuncios de apertura y cierre del envio de resumenes, simposios, cuotas y becas de World Sleep 2027 (Montreal, 10-15 sep 2027)	Es el unico congreso grande de su linea de sueno que cae ya fuera de la residencia y cuyo plazo de resumenes todavia no esta publicado: sin aviso por correo es facil que se le pase entre guardias	MEDIUM	TODO	2026-09-07	No verifique el formulario exacto de alta; comprobar el pie de pagina de worldsleepsociety.org antes de dar la suscripcion por hecha.
